Index,Accel X (LSB),Accel Y (LSB),Accel Z (LSB),Gyro X (LSB),Gyro Y (LSB),Gyro Z (LSB),Compass X (LSB),Compass Y (LSB),Compass Z (LSB),Temperature,
15014,-2596,-908,16496,337,903,600,-15,199,297,32,04466,
15015,-2164,-736,16460,-265,172,343,-15,199,297,31,94881,
15016,-2436,-748,16408,-207,86,-68,-15,199,297,31,94881,
15017,-2104,-856,16256,-131,-6,270,-7,194,315,32,04466,
15018,-2000,-900,16112,-129,-468,543,-15,194,310,31,90089,
15019,-2376,-512,16176,128,-243,419,-7,204,307,31,94881,
15020,-2640,-916,15996,14,24,609,-7,204,307,32,04466,
15021,-2504,-588,16204,-28,-488,19,-3,208,301,32,04466,
15022,-2780,-908,16456,-236,24,252,-15,207,310,32,04466,
15023,-2712,-444,16160,62,215,296,-8,200,311,32,09258,
15024,-2368,-744,16144,92,-7,125,-7,202,315,32,04466,
15025,-2820,-756,16156,-151,18,52,-7,202,315,32,04466,
15026,-2300,-564,16232,86,11,524,0,207,307,32,1405,
15027,-2676,-668,16200,104,66,382,-5,204,312,31,90089,
15028,-2428,-736,16148,96,47,368,-5,204,312,31,85297,
15029,-2328,-660,15976,125,164,438,-19,206,306,32,04466,
15030,-2516,-500,16212,248,-261,-60,-19,206,306,32,04466,
15031,-2860,-752,16364,30,444,165,-15,204,310,31,94881,
15032,-2172,-728,16196,82,64,115,-15,204,310,31,94881,
15033,-2536,-832,16316,-148,111,192,-12,202,307,32,04466,
15034,-2568,-116,16076,116,212,516,-15,199,312,31,94881,
15035,-2736,-612,16240,-170,204,-59,-15,199,312,32,09258,
15036,-2824,-312,16132,29,401,415,-3,208,301,32,04466,
15037,-2408,-912,16484,-7,114,236,1,206,306,31,94881,
15038,-2808,-564,16440,-60,131,291,-16,206,306,32,04466,
15039,-2328,-796,16368,-392,16,226,-8,206,313,32,04466,
15040,-2556,-652,16232,-79,86,454,-8,206,313,31,90089,
15041,-2480,-844,16216,-302,174,201,-14,195,298,32,09258,
15042,-2800,-476,16140,-176,110,121,-3,200,296,32,04466,
15043,-2704,-404,16080,-59,20,64,-6,203,313,32,04466,
15044,-2628,-592,16176,-119,-135,-37,-6,203,313,32,04466,
15045,-3044,-352,16192,36,136,96,-6,203,313,31,94881,
15046,-2780,-668,16340,-33,86,115,-8,198,303,32,04466,
15047,-2432,-660,16080,233,-9,105,-2,204,310,32,04466,
15048,-2416,-820,16128,344,-31,302,-2,204,310,31,94881,
15049,-3332,-512,16180,388,664,295,-2,204,310,32,04466,
15050,-2896,-484,16176,521,243,214,-5,204,315,32,04466,
15051,-2736,-568,16164,303,19,-161,-10,202,310,32,23635,
15052,-3084,-332,16300,925,754,330,-10,202,310,31,94881,
15053,-2832,-1864,16888,1351,1024,138,-3,208,308,31,94881,
15054,-2708,-3628,17124,1994,1659,161,-3,208,308,31,90089,
15055,-3320,-7832,17576,1084,834,-1941,-7,212,312,32,04466,
15056,-3096,-10832,18728,521,2883,-829,-3,221,298,32,04466,
15057,-412,-13556,20800,-5711,-3109,-4942,8,206,286,31,90089,
15058,-5232,-3464,17644,-5270,-4347,-4041,0,207,280,31,94881,
15059,-3144,856,14440,-2272,-4903,18,0,207,280,32,04466,
15060,2300,980,12300,-1815,-5884,-9745,-12,210,277,32,09258,
15061,-2752,7416,12532,2381,-9566,-8469,-12,210,277,32,04466,
15062,-2860,3908,15048,1627,-4724,-4411,-54,208,256,32,04466,
15063,-1664,4980,16364,2363,-7690,-9132,-64,216,268,32,28427,
15064,-4348,5304,15416,4384,1474,-3863,-64,216,268,31,75712,
15065,728,2732,17204,2634,911,-2890,-64,216,268,32,04466,
15066,-1572,3120,16876,2559,654,-2162,-63,236,260,32,1405,
15067,108,1060,16844,1492,1660,-957,-72,242,253,31,94881,
15068,336,-508,17388,15,309,-1556,-64,240,253,32,04466,
15069,-332,808,16360,1318,2986,805,-64,240,253,31,90089,
15070,292,-288,16484,334,1173,-220,-75,245,251,31,94881,
15071,-676,116,16408,61,-281,-30,-78,236,262,32,04466,
15072,-1432,-456,16792,-341,619,435,-66,238,252,31,85297,
15073,-1996,-1036,17096,-1620,1753,-102,-73,246,262,32,04466,
15074,-740,284,15964,-682,1319,36,-73,246,262,32,09258,
15075,-1016,-228,16164,-604,888,292,-68,236,255,31,94881,
15076,-320,596,15976,431,352,982,-64,229,258,31,94881,
15077,-968,-928,16816,25,-429,-48,-64,229,258,32,1405,
15078,-1340,-108,16836,283,521,635,-61,223,252,31,90089,
15079,-1100,-256,16608,35,206,260,-61,223,252,31,94881,
15080,-1196,-192,16244,-21,195,-232,-61,231,255,31,94881,
15081,-828,-444,17136,-100,-164,299,-61,231,255,31,85297,
15082,-900,-320,16400,-327,84,362,-68,228,255,32,04466,
15083,-824,-504,16476,-112,-553,267,-68,228,255,32,04466,
15084,-1584,-428,16476,-157,140,235,-66,228,250,32,04466,
15085,-1448,-112,16304,-19,353,-31,-67,227,251,31,85297,
15086,-916,-40,16352,222,59,-274,-71,233,252,32,1405,
15087,-1092,-736,16688,-478,16,-160,-70,229,256,32,04466,
15088,-1604,236,16052,106,625,661,-70,229,256,31,90089,
15089,-1012,4,16128,260,371,-119,-68,228,247,32,09258,
15090,-972,-272,16524,-88,-320,-404,-68,228,247,31,75712,
15091,-1136,240,16404,435,363,600,-85,224,261,32,1405,
15092,-1128,-524,16692,112,134,542,-59,227,258,32,04466,
15093,-1156,-392,16368,23,173,206,-59,227,258,32,1405,
15094,-1660,-380,16536,-328,160,129,-59,227,258,31,94881,
15095,-1384,1020,16020,382,64,584,-72,232,253,32,1405,
15096,-1388,-628,16432,195,365,89,-76,223,255,32,09258,
15097,-1164,-312,16608,3,-55,65,-71,225,247,32,04466,
15098,-1584,-220,16480,-275,-85,291,-71,225,247,32,04466,
15099,-1416,32,16332,-204,233,-194,-76,233,242,32,04466,
15100,-1100,-180,16444,61,-126,144,-66,231,255,32,04466,
15101,-1248,-248,16460,-158,-154,84,-75,227,251,31,75712,
